split,group_id,class_name,source_group_image,original_path,split_dataset_path
train,group_7457,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7457\ok__mirrv_cell2091.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell2091.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell2091.png
train,group_6119,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6119\ok__mirrh_cell2197.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell2197.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell2197.png
train,group_6965,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6965\ok__mirrv_cell1244.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell1244.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell1244.png
train,group_6537,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6537\ok__mirrv_cell0348.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell0348.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell0348.png
train,group_8349,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_8349\ok__rot3_cell1338.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell1338.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell1338.png
train,group_6089,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6089\ok__mirrh_cell2155.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell2155.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell2155.png
train,group_0783,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0783\Bgrade__cell0454.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell0454.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell0454.png
train,group_0712,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0712\Bgrade__cell0362.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell0362.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell0362.png
train,group_2338,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2338\Bgrade__rot2_cell0702.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell0702.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell0702.png
train,group_3054,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_3054\Bgrade__rot_cell0289.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot_cell0289.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot_cell0289.png
train,group_3940,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_3940\ok__cell1127.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1127.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1127.png
train,group_2664,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2664\Bgrade__rot3_cell0410.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot3_cell0410.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot3_cell0410.png
train,group_9139,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9139\ok__rot_cell0071.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot_cell0071.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot_cell0071.png
train,group_8768,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_8768\ok__rot3_cell2067.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell2067.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell2067.png
train,group_3661,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_3661\ok__cell0637.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell0637.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell0637.png
train,group_7232,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7232\ok__mirrv_cell1703.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell1703.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell1703.png
train,group_8912,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_8912\ok__rot3_cell2280.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell2280.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell2280.png
train,group_4052,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4052\ok__cell1274.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1274.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1274.png
train,group_8053,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_8053\ok__rot2_cell0711.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot2_cell0711.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot2_cell0711.png
train,group_6697,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6697\ok__mirrv_cell0812.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell0812.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell0812.png
train,group_6439,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6439\ok__mirrv_cell0116.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell0116.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell0116.png
train,group_5029,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_5029\ok__mirrh_cell0095.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell0095.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell0095.png
train,group_0638,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0638\Bgrade__cell0213.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell0213.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell0213.png
train,group_0268,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0268\Bgrade__cell1838.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell1838.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell1838.png
train,group_0368,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0368\ok__cell2325.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell2325.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell2325.png
train,group_8090,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_8090\ok__rot2_cell0778.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot2_cell0778.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot2_cell0778.png
train,group_4825,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4825\ok__cell2445.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell2445.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell2445.png
train,group_7633,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7633\ok__mirrv_cell2356.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell2356.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell2356.png
train,group_1262,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1262\Bgrade__mirrh_cell0299.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrh_cell0299.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrh_cell0299.png
train,group_0004,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0004\ok__mirrh_cell2031.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell2031.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell2031.png
train,group_9060,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9060\ok__rot3_cell2542.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell2542.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell2542.png
train,group_2288,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2288\Bgrade__rot2_cell0530.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell0530.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell0530.png
train,group_4475,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4475\ok__cell1926.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1926.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1926.png
train,group_2886,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2886\Bgrade__rot3_cell1616.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot3_cell1616.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot3_cell1616.png
train,group_2073,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2073\Bgrade__rot2_cell0016.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell0016.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell0016.png
train,group_2865,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2865\Bgrade__rot3_cell1147.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot3_cell1147.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot3_cell1147.png
train,group_6028,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6028\ok__mirrh_cell2033.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell2033.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell2033.png
train,group_1804,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1804\Bgrade__mirrv_cell0479.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrv_cell0479.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrv_cell0479.png
train,group_7430,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7430\ok__mirrv_cell2025.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell2025.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell2025.png
train,group_5988,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_5988\ok__mirrh_cell1955.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell1955.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell1955.png
train,group_1923,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1923\Bgrade__mirrv_cell0854.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrv_cell0854.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrv_cell0854.png
train,group_1513,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1513\Bgrade__mirrh_cell1143.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrh_cell1143.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrh_cell1143.png
train,group_3890,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_3890\ok__cell1034.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1034.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1034.png
train,group_2090,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2090\Bgrade__rot2_cell0046.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell0046.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell0046.png
train,group_1722,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1722\Bgrade__mirrv_cell0323.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrv_cell0323.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrv_cell0323.png
train,group_0971,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0971\Bgrade__cell1086.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell1086.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell1086.png
train,group_3155,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_3155\Bgrade__rot_cell0479.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot_cell0479.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot_cell0479.png
train,group_5474,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_5474\ok__mirrh_cell1133.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell1133.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell1133.png
train,group_4020,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4020\ok__cell1233.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1233.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1233.png
train,group_9358,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9358\ok__rot_cell0681.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot_cell0681.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot_cell0681.png
train,group_4231,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4231\ok__cell1538.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1538.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1538.png
train,group_9330,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9330\ok__rot_cell0623.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot_cell0623.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot_cell0623.png
train,group_9043,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9043\ok__rot3_cell2499.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell2499.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell2499.png
train,group_4088,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4088\ok__cell1335.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1335.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1335.png
train,group_1865,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1865\Bgrade__mirrv_cell0639.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrv_cell0639.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrv_cell0639.png
train,group_3729,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_3729\ok__cell0764.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell0764.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell0764.png
train,group_4660,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4660\ok__cell2205.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell2205.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell2205.png
train,group_5225,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_5225\ok__mirrh_cell0665.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell0665.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell0665.png
train,group_4232,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4232\ok__cell1539.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1539.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1539.png
train,group_0922,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0922\Bgrade__cell0867.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell0867.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell0867.png
train,group_0961,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0961\Bgrade__cell1049.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell1049.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell1049.png
train,group_1311,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1311\Bgrade__mirrh_cell0407.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrh_cell0407.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrh_cell0407.png
train,group_2133,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2133\Bgrade__rot2_cell0248.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell0248.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell0248.png
train,group_6193,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6193\ok__mirrh_cell2314.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell2314.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell2314.png
train,group_2303,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2303\Bgrade__rot2_cell0606.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell0606.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell0606.png
train,group_9379,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9379\ok__rot_cell1739.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot_cell1739.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot_cell1739.png
train,group_6324,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6324\ok__mirrh_cell2531.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell2531.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell2531.png
train,group_7078,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7078\ok__mirrv_cell1415.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell1415.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell1415.png
train,group_1414,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1414\Bgrade__mirrh_cell0634.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrh_cell0634.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrh_cell0634.png
train,group_2604,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2604\Bgrade__rot3_cell0287.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot3_cell0287.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot3_cell0287.png
train,group_0246,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0246\ok__cell1417.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1417.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1417.png
train,group_7748,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7748\ok__mirrv_cell2542.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell2542.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell2542.png
train,group_0132,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0132\Bgrade__147.jpg,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\147.jpg,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__147.jpg
train,group_0583,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_0583\Bgrade__cell0028.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\cell0028.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__cell0028.png
train,group_7309,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7309\ok__mirrv_cell1833.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell1833.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell1833.png
train,group_3239,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_3239\Bgrade__rot_cell0701.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot_cell0701.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot_cell0701.png
train,group_6272,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6272\ok__mirrh_cell2438.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell2438.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell2438.png
train,group_9389,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9389\ok__rot_cell2300.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot_cell2300.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot_cell2300.png
train,group_5205,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_5205\ok__mirrh_cell0628.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell0628.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell0628.png
train,group_5771,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_5771\ok__mirrh_cell1563.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrh_cell1563.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrh_cell1563.png
train,group_2456,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2456\Bgrade__rot2_cell1655.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell1655.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell1655.png
